[2026-03-12 18:23:09] [INFO    ] discord.client: logging in using static token
[2026-03-12 18:23:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-03-12 18:23:09] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-03-12 18:23:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1411871039595614219', 'username': 'CUBRTBot', 'avatar': None, 'discriminator': '2561', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'b2f75c6edf6e2bef9fe1953b07eb8f9c', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-03-12 18:23:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-03-12 18:23:09] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-03-12 18:23:09] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1411871039595614219', 'name': 'CUBRTBot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1411871039595614219', 'username': 'CUBRTBot', 'avatar': None, 'discriminator': '2561', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'b2f75c6edf6e2bef9fe1953b07eb8f9c', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '0d9d7ef7a2af875794aa36bd4aa49bfb14086552a0afcb58189fe912d76cdba9', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '386292631581229057', 'username': 'pinyoda', 'avatar': '281fae6e24688a27ec46f8516918863b', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 2836563, 'global_name': 'Sean Marketos - [CU Boulder]', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#2b4853', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2272, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-03-12 18:23:10] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-03-12 18:23:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-vz3s",{"micros":0.0}]']}}
[2026-03-12 18:23:10] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-03-12 18:23:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2026-03-12 18:23:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'CUBRTBot', 'primary_guild': None, 'mfa_enabled': True, 'id': '1411871039595614219', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2561', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': 'c3578a2449c45060ddc271cfe82b0241', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1026911592106963084'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'us-west', 'us-central', 'oregon', 'santa-clara'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1411871039595614219', 'flags_new': '565248', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-b-vz3s",{"micros":150148,"calls":["id_created",{"micros":908,"calls":[]},"session_lookup_time",{"micros":336,"calls":[]},"session_lookup_finished",{"micros":9,"calls":[]},"sessions-prd-gcp-us-east1-c-273",{"micros":148418,"calls":["start_session",{"micros":96493,"calls":["discord-api-rpc-5988598cf7-gxm4p",{"micros":42146,"calls":["get_user",{"micros":6674},"get_guilds",{"micros":2827},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":1771},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":1141},"apex_experiments",{"micros":44116},"sessions_experiments",{"micros":7},"user_activities",{"micros":4},"played_application_ids",{"micros":3},"linked_users",{"micros":3},"ad_personalization_toggles_disabled",{"micros":3},"regional_feature_config",{"micros":3}]}]},"starting_guild_connect",{"micros":38,"calls":[]},"presence_started",{"micros":281,"calls":[]},"guilds_started",{"micros":73,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":51497,"calls":[]},"connect_finished",{"micros":51513,"calls":[]},"build_ready",{"micros":15,"calls":[]},"clean_ready",{"micros":2,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2026-03-12 18:23:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-03-12 18:23:10] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: c3578a2449c45060ddc271cfe82b0241).
[2026-03-12 18:23:10] [DEBUG   ] discord.client: Dispatching event connect
